Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,3,1.6032856051269204,9.323669057283185,1,3,3,0,4,0,19,2,2,0,2,5,5,43,43,3,1,6,6,2,0.0,3,4,1,4,4,3,5,30.099833886584822,6,0.0,11.575836902790225,32.2490309931942,1,0,1,4,6.946975992135418,0.0,0,6.946975992135418,1,0,1,0,3,1,3,5,6,0,3,5,43.0,3,1,384,5,5,2,0.0,0.0,0.0,0,0.0,0,0,2,2008,8,4,11.771436160121729
12,60,3,1.6382488834516562,9.386308454797962,1,0,3,0,4,0,16,2,2,0,5,9,5,1,0,3,1,14,15,3,16.911534525287763,0,4,2,0,4,3,2,31.591137997862628,6,0.0,13.30413469565007,34.27827300200522,1,0,1,4,7.074963197966044,33.793490497431605,0,7.751045117971802,1,0,3,0,4,1,0,11,6,2,2,3,1.0,0,3,736,5,5,2,12.12435565298214,4.58257569495584,0.0,0,0.0,0,0,7,2006,6,5,12.751299696013497
13,20,3,1.6007244024062175,9.470240063415512,1,1,3,0,4,0,19,2,2,0,2,5,6,46,46,3,1,6,10,2,0.0,3,4,1,4,4,3,0,27.147743920996454,6,0.0,13.228756555322953,30.199337741083,1,4,1,4,6.815639990074331,0.0,0,6.815639990074331,1,0,1,0,2,1,3,4,6,0,3,5,46.0,3,1,352,5,5,2,11.832159566199232,0.0,0.0,0,13.2664991614216,0,0,9,2008,8,4,11.877568578558138
14,20,3,1.6507118379778205,9.273502946933823,1,0,3,0,4,0,5,2,2,0,2,7,5,1,0,1,1,12,13,3,17.4928556845359,2,4,2,2,4,0,6,0.0,6,0.0,38.65229618017538,38.65229618017538,1,0,1,4,7.309212365692763,0.0,0,7.309212365692763,0,0,2,0,3,1,2,7,6,1,2,1,1.0,2,3,840,5,5,2,12.649110640673518,5.744562646538029,0.0,0,0.0,0,0,8,2007,6,5,12.540757571577291
15,20,3,1.6007244024062175,9.298351249298896,1,0,3,0,0,0,12,2,2,0,2,6,5,48,48,3,1,8,8,1,14.560219778561036,3,4,1,4,4,3,1,27.073972741361768,6,0.0,22.80350850198276,35.397740040855716,1,4,1,4,7.133295954896068,0.0,0,7.133295954896068,1,0,1,1,2,1,3,5,6,1,1,1,48.0,2,1,352,5,5,2,0.0,14.594519519326424,13.2664991614216,0,0.0,0,0,5,2008,8,4,11.964001084330445
16,45,4,1.547854091746034,8.719317375506371,1,3,3,0,0,0,3,2,2,0,1,7,8,78,6,1,1,13,14,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,28.844410203711913,28.844410203711913,1,0,1,0,6.74993119378857,0.0,0,6.74993119378857,0,0,1,0,2,1,3,5,6,0,3,5,16.0,3,2,576,5,5,2,6.928203230275509,10.583005244258363,0.0,0,0.0,0,0,7,2007,8,4,11.790557201568507
17,20,3,1.6007244024062175,9.327323087461798,1,0,3,0,1,0,12,2,2,0,2,6,7,40,40,1,1,13,14,1,13.416407864998739,3,4,1,4,4,3,0,24.041630560342615,6,0.0,20.639767440550294,31.68595903550972,1,0,1,4,6.911747300251674,0.0,0,6.911747300251674,1,0,1,0,2,1,3,5,6,1,5,1,40.0,0,2,480,5,5,2,0.0,0.0,0.0,0,0.0,0,700,3,2010,8,4,11.911701584927597
18,90,3,1.6083119076007948,9.286467732363734,1,3,3,0,4,0,19,2,2,2,2,4,5,39,39,1,1,8,8,2,0.0,3,4,3,3,2,4,4,0.0,4,0.0,0.0,0.0,1,4,1,4,7.16703787691222,0.0,0,7.16703787691222,0,0,2,0,2,2,3,6,6,0,3,4,39.0,3,2,516,5,5,2,0.0,0.0,0.0,0,0.0,0,500,10,2006,8,4,11.407564949312402
19,20,3,1.5928377813306158,9.524786081697178,1,3,3,0,4,0,20,5,2,0,2,5,5,4,4,1,1,12,13,2,0.0,3,4,2,4,4,3,2,25.41653005427767,6,0.0,21.633307652783937,33.37663853655727,1,0,1,4,7.01571242048723,0.0,0,7.01571242048723,1,0,1,1,3,1,2,6,6,0,3,5,4.0,3,2,576,5,5,2,0.0,10.099504938362077,0.0,0,0.0,0,0,6,2008,8,4,11.976659481202368
20,20,3,1.6032856051269204,8.930626469173578,1,3,3,0,4,0,12,2,2,0,2,5,6,51,44,3,1,3,10,2,0.0,3,4,1,4,4,3,3,22.44994432064365,6,0.0,22.9128784747792,32.07802986469088,1,4,1,4,7.199678345691172,0.0,0,7.199678345691172,0,0,1,0,3,1,3,6,2,0,3,1,51.0,3,1,294,5,5,2,0.0,0.0,0.0,0,0.0,0,0,5,2009,0,0,11.842229212112828
21,60,3,1.6699457962021296,9.5620530240851,1,0,3,0,0,0,16,2,2,0,5,8,5,1,0,1,1,12,13,1,19.493588689617926,2,4,2,0,4,0,6,0.0,6,0.0,34.02939905434711,34.02939905434711,1,0,1,4,7.05444965813294,34.899856733230294,0,7.773173680482536,0,0,3,1,4,1,2,9,6,1,2,3,1.0,2,3,853,5,5,2,15.491933384829668,12.409673645990857,0.0,0,0.0,0,0,11,2006,6,5,12.692503112461443
22,45,4,1.5671017882207892,8.915835074176277,1,3,0,0,4,0,9,2,2,0,1,7,7,77,57,1,1,13,14,2,0.0,3,4,2,4,4,3,6,0.0,6,0.0,25.238858928247925,25.238858928247925,1,0,1,1,7.010311867307229,0.0,0,7.010311867307229,0,0,1,0,3,1,2,6,6,1,2,1,77.0,3,1,280,5,5,0,0.0,0.0,14.317821063276353,0,0.0,0,0,6,2007,8,4,11.845102777308561
23,20,3,1.6156234211948597,9.184201714366488,1,3,3,0,4,0,5,2,2,0,2,8,5,6,6,3,1,12,13,1,16.76305461424021,2,4,2,2,4,3,6,0.0,6,0.0,42.15447781671598,42.15447781671598,1,0,1,4,7.492760300922379,0.0,0,7.492760300922379,0,0,2,0,3,1,2,7,6,1,2,1,6.0,2,2,534,5,5,2,13.076696830622021,12.609520212918492,0.0,0,0.0,0,0,9,2008,8,4,12.345834587905333
24,120,4,1.522670216302517,8.348537825386098,1,3,3,0,4,0,10,2,2,4,2,5,7,31,31,1,1,5,5,2,0.0,3,4,2,2,4,3,2,28.982753492378876,6,0.0,14.142135623730951,32.2490309931942,1,4,1,4,6.966024187106113,0.0,0,6.966024187106113,1,0,1,0,3,1,3,6,6,1,5,1,31.0,3,2,572,5,5,2,10.0,10.488088481701515,0.0,0,0.0,0,0,6,2007,8,4,11.77452020265869
25,20,3,1.6007244024062175,9.017483513266844,1,0,3,0,4,0,19,2,2,0,2,5,8,42,9,1,1,9,10,2,0.0,3,2,1,4,4,2,5,13.711309200802088,0,25.84569596664017,14.2828568570857,32.55764119219941,1,0,1,4,6.966024187106113,0.0,0,6.966024187106113,1,0,1,0,3,1,2,6,6,1,5,1,42.0,3,1,270,5,5,2,20.149441679609886,9.486832980505138,0.0,0,0.0,0,0,5,2010,8,4,11.944707881395766
26,20,3,1.6858596237846466,9.563107691083898,1,3,3,0,0,0,16,2,2,0,2,8,5,2,2,1,1,12,13,3,25.298221281347036,2,4,2,2,4,3,6,0.0,6,0.0,39.57271787481876,39.57271787481876,1,0,1,4,7.3777589082278725,0.0,0,7.3777589082278725,0,0,2,0,3,1,2,7,6,1,2,1,2.0,2,3,890,5,5,2,0.0,7.483314773547883,0.0,0,0.0,0,0,7,2009,8,4,12.454103912352162
27,20,3,1.5760586001492374,8.881836305004146,1,3,3,0,0,0,12,2,2,0,2,5,7,59,10,1,1,13,14,2,0.0,3,4,1,4,4,2,1,15.297058540778355,5,22.045407685048602,13.416407864998739,30.0,1,4,1,4,6.802394763324311,0.0,0,6.802394763324311,0,1,1,0,3,1,2,5,6,0,3,5,5.0,3,2,576,5,5,2,14.89966442575134,5.656854249492381,0.0,0,0.0,0,0,5,2010,8,4,11.811547477460344
28,20,3,1.6643602759675349,9.348187438668308,1,3,3,0,4,0,16,2,2,0,2,8,5,3,2,1,1,12,13,3,14.142135623730951,2,4,2,0,4,3,2,34.899856733230294,6,0.0,22.045407685048602,41.27953488110059,1,0,1,4,7.440733707389261,0.0,0,7.440733707389261,1,0,2,0,3,1,2,7,6,1,2,1,2.0,2,3,772,5,5,2,0.0,7.0710678118654755,0.0,0,0.0,0,0,5,2010,8,4,12.631340380934517
29,20,3,1.5338703441645078,9.700207901150696,1,0,3,0,1,0,12,2,2,0,2,5,6,49,9,1,1,8,8,2,0.0,3,4,1,4,4,1,1,35.73513677041127,6,0.0,14.38749456993816,38.52272056851645,1,4,1,4,7.3777589082278725,0.0,0,7.3777589082278725,1,0,1,0,2,1,3,6,6,2,2,1,49.0,2,1,319,5,5,2,16.97056274847714,16.06237840420901,0.0,0,0.0,0,0,12,2006,8,4,12.24288661865289
30,30,4,1.5760586001492374,8.752107198329362,1,0,3,0,4,0,3,1,7,0,2,4,6,81,58,1,1,8,8,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,22.80350850198276,22.80350850198276,1,1,0,4,6.253828811575473,0.0,0,6.253828811575473,0,0,1,0,1,1,1,4,6,0,3,5,88.0,3,1,240,1,5,2,7.0,0.0,9.327379053088816,0,0.0,0,0,5,2008,8,4,11.134589024250317
31,70,0,1.544452104946379,9.047821442478408,1,3,3,0,4,0,9,1,2,0,5,4,4,88,58,2,1,3,3,2,0.0,3,1,0,4,4,3,6,0.0,6,0.0,25.475478405713993,25.475478405713993,1,4,0,4,6.47543271670409,25.84569596664017,0,7.183111701743281,0,0,1,0,3,1,3,6,6,0,3,5,88.0,3,1,250,5,1,0,0.0,7.3484692283495345,13.114877048604,0,0.0,0,0,7,2008,8,4,10.596634733096073
32,20,3,1.6007244024062175,9.052984561199976,1,0,3,0,1,0,19,2,2,0,2,5,6,42,2,1,1,6,6,2,0.0,3,4,1,4,4,3,6,0.0,6,0.0,35.04283093587046,35.04283093587046,1,2,1,4,7.113142108707088,0.0,0,7.113142108707088,0,0,1,1,3,1,2,6,6,0,3,1,42.0,3,1,271,5,5,2,0.0,8.06225774829855,0.0,0,0.0,0,0,6,2008,8,4,11.914047823644255
33,20,3,1.6382488834516562,9.310095205113175,1,3,3,0,0,0,5,2,2,0,2,8,5,1,1,1,1,12,13,2,0.0,2,4,2,0,4,0,6,0.0,6,0.0,35.12833614050059,35.12833614050059,1,0,1,4,7.1180162044653335,0.0,0,7.1180162044653335,0,0,2,0,3,1,2,7,6,0,3,1,1.0,2,2,484,5,5,2,0.0,5.477225575051661,0.0,0,0.0,0,0,1,2008,8,4,12.100156419938624
34,20,3,1.6032856051269204,9.26407069439715,1,0,3,0,4,0,12,2,2,0,2,5,5,51,51,3,1,3,3,2,0.0,3,4,1,4,4,3,5,31.906112267087632,6,0.0,19.493588689617926,37.389838191679836,1,2,1,4,7.438383530044307,0.0,0,7.438383530044307,0,1,1,1,4,1,2,6,6,1,2,1,51.0,2,2,447,5,5,2,0.0,6.164414002968976,0.0,0,0.0,0,0,4,2010,8,4,12.016726473799254
35,120,3,1.5760586001492374,8.89740886527095,1,3,3,0,4,0,16,2,2,4,2,9,5,2,2,3,1,8,8,1,15.684387141358123,0,4,2,0,4,3,2,33.95585369269929,6,0.0,20.199009876724155,39.50949253027682,1,0,1,4,7.353081920515432,0.0,0,7.353081920515432,1,0,2,0,2,1,0,6,6,1,2,1,2.0,0,2,556,5,5,2,14.247806848775006,6.855654600401044,0.0,0,0.0,0,0,8,2007,8,4,12.533576212168626
36,60,3,1.6824260060797678,9.504352368122833,1,3,3,0,4,0,16,2,2,0,5,8,5,2,1,1,1,12,13,3,11.489125293076057,2,4,2,0,4,0,6,0.0,6,0.0,33.421549934136806,33.421549934136806,1,0,1,4,7.0317412587631285,36.3318042491699,0,7.804659297056102,0,0,3,1,4,1,2,9,6,1,2,3,2.0,0,3,691,5,5,2,10.63014581273465,5.656854249492381,0.0,0,0.0,0,0,9,2006,8,4,12.641096555879882
37,20,3,1.6892381903525913,9.2927495082169,1,3,3,0,0,0,5,2,2,0,2,5,5,15,14,1,1,12,13,2,0.0,3,4,2,2,4,3,6,0.0,6,0.0,33.12099032335839,33.12099032335839,1,0,1,4,7.00033446027523,0.0,0,7.00033446027523,0,0,1,1,3,1,3,6,6,0,3,1,14.0,3,2,672,5,5,2,19.79898987322333,8.0,0.0,0,0.0,0,0,6,2009,8,4,11.884489021402711
38,20,3,1.613215600983197,9.05157907959124,1,3,3,0,4,0,12,2,2,0,2,5,6,55,19,3,1,13,14,1,25.495097567963924,3,4,1,4,4,3,5,34.828149534535996,6,0.0,9.16515138991168,36.013886210738214,1,2,1,4,7.167809184316444,0.0,0,7.167809184316444,0,1,1,0,3,1,3,5,6,1,5,1,55.0,0,2,498,5,5,2,0.0,0.0,0.0,0,0.0,0,0,10,2009,8,4,11.938193200374572
39,20,3,1.5981299899944055,8.977398978181862,1,3,3,0,4,0,12,2,2,0,2,5,7,57,3,1,1,12,13,2,0.0,3,2,1,4,4,3,2,27.03701166919155,6,0.0,18.05547008526779,32.51153641401772,1,4,1,4,6.963189985870238,0.0,0,6.963189985870238,1,0,1,0,3,1,2,5,6,0,3,5,57.0,3,1,246,5,5,2,0.0,7.211102550927978,0.0,0,0.0,0,0,1,2010,8,0,11.59910316121128
40,90,3,1.590138004527852,8.706159290928861,1,3,3,0,4,0,7,2,2,2,2,4,5,53,53,1,1,0,10,2,0.0,3,4,2,3,2,4,4,0.0,4,0.0,0.0,0.0,1,4,0,2,7.049254841255837,0.0,0,7.049254841255837,0,0,2,0,2,2,1,6,6,0,3,6,0.0,1,0,0,3,3,0,0.0,0.0,0.0,0,0.0,0,0,6,2008,8,1,11.314474526246391
41,20,3,1.6360961005932173,9.066239028001926,1,3,3,0,4,0,12,2,2,0,2,6,5,41,41,1,1,13,14,1,10.04987562112089,3,4,1,4,4,3,5,25.357444666211933,6,0.0,21.095023109728988,32.984845004941285,1,0,1,4,7.188412736496954,0.0,0,7.188412736496954,0,0,2,0,3,1,3,6,6,1,5,1,41.0,2,2,440,5,5,2,0.0,11.74734012447073,0.0,0,0.0,0,0,12,2006,8,0,11.982929094215963
42,20,3,1.6942068241055346,9.735364715141987,1,3,3,0,4,0,23,2,2,0,2,5,6,48,48,1,1,12,13,2,0.0,3,2,1,4,4,1,1,31.096623610932426,6,0.0,19.570385790780925,36.742346141747674,1,2,1,4,7.191429330036379,0.0,0,7.191429330036379,0,1,1,1,2,1,3,5,6,2,2,1,48.0,2,1,308,5,5,1,0.0,10.198039027185569,0.0,0,0.0,0,0,7,2007,8,4,12.043553716032399
43,85,3,1.6007244024062175,9.124782483614537,1,0,3,0,1,0,20,2,2,0,6,5,7,24,24,1,1,6,6,2,0.0,3,4,1,2,4,0,0,27.331300737432898,3,9.643650760992955,0.0,28.982753492378876,1,2,1,4,6.784457062637643,0.0,0,6.784457062637643,1,0,1,0,2,1,2,5,6,0,3,1,24.0,2,2,504,5,2,2,15.491933384829668,0.0,0.0,0,0.0,0,0,12,2007,8,4,11.877568578558138
44,20,3,1.6007244024062175,9.126958763037132,1,0,3,0,1,0,5,2,2,0,2,5,6,33,28,3,1,12,13,2,0.0,3,4,1,2,4,0,3,16.73320053068151,1,22.15851980616034,12.922847983320086,30.62678566222711,1,4,1,4,6.843749949006225,0.0,0,6.843749949006225,1,0,1,0,3,1,3,5,6,0,3,5,31.0,3,1,308,5,5,2,12.041594578792296,0.0,0.0,0,0.0,0,0,7,2008,8,4,11.777210959615614
45,20,3,1.6032856051269204,8.980298078970817,1,3,3,0,4,0,12,2,2,0,2,5,6,47,47,1,1,3,14,2,0.0,3,4,1,4,4,3,0,13.379088160259652,1,22.494443758403985,21.563858652847824,33.91164991562634,1,0,1,0,7.047517221357296,0.0,0,7.047517221357296,1,0,1,0,3,1,3,6,6,0,3,1,47.0,2,1,300,5,5,2,0.0,0.0,0.0,0,0.0,0,0,5,2006,8,4,11.856515169360305
46,120,3,1.5789558319019596,8.943506132037239,1,3,3,0,4,0,16,2,2,4,2,9,5,5,5,3,1,8,8,1,20.29778313018444,0,4,2,0,4,3,2,21.354156504062622,6,0.0,36.0,41.8568990729127,1,0,1,4,7.468513271496337,0.0,0,7.468513271496337,1,0,2,0,2,1,0,6,6,1,2,1,5.0,2,2,576,5,5,2,14.0,9.055385138137417,0.0,0,0.0,0,0,2,2010,8,4,12.675763725937609
47,50,3,1.5374626775757692,9.458917724547202,1,0,3,0,1,0,11,2,2,0,0,7,5,6,6,1,1,12,13,2,0.0,2,4,2,0,4,3,2,36.75595189897821,6,0.0,9.1104335791443,37.86819245752297,1,0,1,4,7.325148957955575,25.11971337416094,0,7.67275789664251,1,0,1,1,1,1,2,6,6,1,0,1,6.0,2,2,670,5,5,2,12.96148139681572,6.557438524302,0.0,0,14.071247279470288,0,0,8,2009,8,0,12.387085012375499
48,20,1,1.6360961005932173,9.314339961994667,1,3,3,0,4,0,21,2,2,0,2,8,5,1,1,1,1,12,13,2,0.0,2,4,2,2,4,0,2,4.898979485566356,6,0.0,40.39801975344831,40.69397989875161,1,0,1,4,7.412160334945205,0.0,0,7.412160334945205,0,0,2,0,3,1,2,7,6,0,3,1,1.0,2,3,826,5,5,2,0.0,12.083045973594572,0.0,0,0.0,0,0,7,2007,8,4,12.428015476267865
49,190,4,1.4747682225098098,8.40200678160712,1,3,3,0,4,0,17,2,2,1,5,4,5,89,1,1,1,8,8,2,0.0,3,4,0,4,4,3,6,0.0,6,0.0,27.129319932501073,27.129319932501073,1,2,1,4,6.601230118728877,26.758176320519304,0,7.280697195384741,0,0,2,0,2,3,3,8,6,0,3,6,0.0,1,0,0,3,3,0,0.0,0.0,10.099504938362077,0,0.0,0,0,6,2009,6,5,11.635143097694478
50,20,3,1.5928377813306158,8.954415331137593,1,3,3,0,4,0,19,2,2,0,2,5,7,41,41,1,1,6,6,2,0.0,3,4,1,4,4,3,1,27.622454633866266,6,0.0,13.856406460551018,30.903074280724887,1,0,1,4,6.86171134048073,0.0,0,6.86171134048073,1,0,1,0,3,1,3,6,6,0,3,1,41.0,3,1,386,5,5,2,0.0,0.0,0.0,0,0.0,0,0,1,2007,8,4,11.751942365440728
51,60,3,1.6007244024062175,9.537411412656335,1,1,3,0,0,0,8,2,2,0,5,6,6,10,10,1,1,12,13,2,0.0,3,4,2,2,4,0,2,13.490737563232042,6,0.0,24.73863375370596,28.178005607210743,1,2,1,4,6.677083461247136,26.0,0,7.293017679772782,0,1,2,0,3,1,3,6,6,0,3,1,10.0,0,2,388,5,5,2,0.0,8.660254037844387,0.0,0,0.0,0,0,7,2007,8,4,12.083905011555967
52,50,4,1.551197292997155,8.738735461363474,1,3,3,0,4,0,3,2,2,0,0,6,6,72,56,1,1,13,14,2,0.0,3,4,2,4,4,3,6,0.0,6,0.0,28.5657137141714,28.5657137141714,1,4,1,4,6.704414354964107,0.0,360,7.069874128458572,0,0,1,0,3,1,3,6,6,1,2,5,21.0,3,2,528,5,5,2,10.583005244258363,0.0,0.0,0,0.0,0,400,9,2006,8,4,11.648330101976432
53,90,4,1.6858596237846466,9.044521887281242,0,1,0,0,0,1,9,8,2,2,2,5,5,47,47,1,1,13,14,2,0.0,1,4,1,2,4,1,3,10.198039027185569,2,26.68332812825267,0.0,28.5657137141714,1,4,0,4,6.704414354964107,0.0,0,6.704414354964107,1,0,1,0,2,1,3,5,6,0,3,4,47.0,3,2,516,5,5,2,10.295630140987,0.0,0.0,0,0.0,0,0,5,2010,8,4,11.608235644774552
54,20,3,1.5981299899944055,10.825183649068833,1,0,2,0,4,0,24,2,2,0,2,9,5,25,19,1,7,14,15,2,0.0,2,4,1,0,4,1,2,42.5440947723653,6,0.0,5.656854249492381,42.91852746774987,1,2,1,4,7.518607216815252,0.0,0,7.518607216815252,2,0,0,1,0,1,2,5,6,1,2,1,25.0,0,3,894,5,5,2,29.274562336608895,8.48528137423857,0.0,0,0.0,0,0,11,2006,8,4,12.86099861326992
55,80,3,1.5760586001492374,8.872627365918836,1,3,0,0,4,1,12,2,2,0,7,5,5,52,52,1,1,8,8,2,0.0,3,4,1,4,4,3,0,19.595917942265423,6,0.0,0.0,19.595917942265423,1,4,1,4,7.215239978730097,0.0,0,7.215239978730097,0,0,1,0,3,1,3,6,2,1,5,5,45.0,3,2,572,5,5,2,0.0,7.0710678118654755,0.0,0,0.0,0,0,2,2007,8,4,11.77528972943772
56,20,3,1.6681005372000588,9.227689010310796,1,0,3,0,4,0,12,2,2,0,2,6,5,44,44,1,1,6,10,1,16.492422502470642,3,4,1,4,4,3,1,22.135943621178654,6,0.0,30.577769702841312,37.749172176353746,1,2,1,4,7.261927092702751,0.0,0,7.261927092702751,0,0,2,0,3,1,3,7,6,1,2,1,44.0,2,2,576,5,5,2,0.0,0.0,0.0,407,0.0,0,0,7,2008,8,4,12.103486056755072
57,160,1,1.4234978142529124,7.8804263442924,1,3,3,0,4,0,21,2,2,3,5,8,5,10,9,1,1,8,8,1,21.354156504062622,2,4,2,2,4,3,2,25.475478405713993,6,0.0,17.916472867168917,31.144823004794873,1,0,1,4,6.890609120147166,27.49545416973504,0,7.461065514354283,1,0,2,1,3,1,2,7,6,0,3,1,10.0,0,2,480,5,5,2,10.723805294763608,0.0,0.0,0,0.0,0,0,8,2009,8,0,12.058152515453552
